sample_id,conversation_index,tweet_id,text,label,confidence,notes
6,6430,565419,"@SpotifyCares if I purchase the discounted annual premium subscription (12 months for price of 10), does the month I am already on with my monthly premium subscription finish first before it kicks in or does it just start straight away?",PREMIUM_SUBSCRIPTION,HIGH,Question about switching between Premium subscription terms.
10,31795,2251451,@SpotifyCares  CarPlay integration indeed is extremely buggy 😡😡😡,APP_TECHNICAL_ISSUE,HIGH,CarPlay integration is malfunctioning.
12,8556,707054,@SpotifyCares Any idea why your Android app occasionally wipes out every download? Now redownloading about 1600 songs. Not the first time.,DOWNLOAD_OFFLINE,HIGH,Downloaded offline music is being removed.
13,22134,1796739,@SpotifyCares why did my account downgrade after two days of premium service,PREMIUM_SUBSCRIPTION,HIGH,Premium subscription unexpectedly downgraded.
23,25108,1909604,@568872 @SpotifyCares Gummo still mf deleted https://t.co/rrqIDjrzNr,MUSIC_CONTENT_AVAILABILITY,HIGH,Specific music content was removed/deleted.
24,42004,2917841,@SpotifyCares App isn’t working. Doesn’t matter if I’m on data or WiFi. Restarted my phone and updated. What’s going on?,APP_TECHNICAL_ISSUE,HIGH,General app malfunction.
26,6983,116604,All clear! Everything’s looking good again. Enjoy the tunes.,GENERAL_OTHER,HIGH,"Closing/positive message, not an issue."
33,36095,2528938,If only @115888 had every @46723 and @46724 remix I would such a happy girl,MUSIC_CONTENT_AVAILABILITY,HIGH,Specific remixes are missing/unavailable.
36,41155,2873765,"@SpotifyCares I archive my Discover Weekly using the IFTTT applet, but it failed last week now I've lost what had become my new favourite song and can't remember it! Is it possible to restore my previous week's playlist?  Thks!",PLAYLIST_LIBRARY,HIGH,Problem involves losing/restoring a playlist.
38,27750,2028538,"You already have this functionality on podcasts. Why not do it for albums, @115888?! Seriously, not that hard to ad a sort. #UX #Design https://t.co/uHMOmnCRgb",FEATURE_REQUEST,HIGH,Requests sorting functionality for albums.
40,437,48118,P.Y.S.T. (Pretty Young Stranger Things)\nThe Moonwalking Dead\nBoJack Horseman in the Mirror\n#MichaelJacksonTVandMovies,GENERAL_OTHER,HIGH,Content/list-style post with no support issue.
41,20995,1739400,"Hey, @SpotifyCares, we want to create lists with our podcast episodes! 😝",FEATURE_REQUEST,HIGH,Requests podcast playlist/list functionality.
57,30668,2190769,"@SpotifyCares i changed my Facebook profile picture back in may and although it has updated on your website, it has not on my app, both on laptop and phone",APP_TECHNICAL_ISSUE,HIGH,Profile picture is not syncing correctly across app/web.
67,13914,1121425,"@115888 why can't you do this for metal, metal-core, hardcore, ect???? https://t.co/4HMjznIFNg",FEATURE_REQUEST,HIGH,Requests a feature/capability for additional genres.
73,42425,2929827,"@SpotifyCares Yep. All that I tried. Even uninstalled, restarted. Removed all data by hand. Installed again. The default settings was set to SD card, but all music ended on the internal storage.",DOWNLOAD_OFFLINE,HIGH,Downloaded music storage/location issue.
75,33107,2310888,"@115888 Hey! I can't sign in with my username and password with my TouchTunes @90737 new account. My Samsung mobile account needs updating, too! @125607 I CHANGED my name legally this year. Problems tonight as I am out TRYING to have a good time!",ACCOUNT_LOGIN_SECURITY,HIGH,Unable to sign in; authentication/account-access issue.
80,31853,2259585,@115888 Where the hell are my buttons to access library and so on? #UIDisaster On th verge of switching if you don’t stop messing with the UI. https://t.co/NfDF1SH5pK,APP_TECHNICAL_ISSUE,HIGH,Library/navigation UI elements are missing.
84,32608,2293042,@SpotifyCares been charging my account and i canceled last month 🤨,PAYMENT_BILLING,HIGH,Charged after cancellation.
87,9799,818977,@115888 @SpotifyCares please fix your artist.spotify contact page.,APP_TECHNICAL_ISSUE,HIGH,Spotify web/contact page is broken.
88,14061,1139896,@117153 I was charged the annual suscription but the premium does not work for me,PAYMENT_BILLING,HIGH,Primary complaint is being charged without receiving the paid service.
90,6001,538064,"@115888 I'd like to get the premium version but here Is the case I don't have a credit card but I've enough fund in my Google play Store. Please I want find out if I can pay via Google play Store, BTC or iTunes gift card. Please waiting for your response. Thanks Gerd!!!",PAYMENT_BILLING,HIGH,Question about accepted payment methods for Premium.
105,18375,1509485,@SpotifyCares Not sure to be honest. No other issues with Spotify though at all.,GENERAL_OTHER,HIGH,No specific problem stated.
106,30650,2190728,That moment when you wonder if you should be tweeting to @SpotifyCares or @comcastcares because not a single song has played without interruption... 😩,PLAYBACK_ISSUE,HIGH,Music playback is repeatedly interrupted.
107,16754,1348074,@SpotifyCares when is yelawolf new album available on @116130,MUSIC_CONTENT_AVAILABILITY,HIGH,Question about album availability.
109,38011,2653012,Wait so when can we listen to #Reputation on @115888 ?? @118062,MUSIC_CONTENT_AVAILABILITY,HIGH,Question about album availability.
110,4899,446911,@SpotifyCares Listening to Spotify thru my web browser cuz I’m at work. It booted me out and won’t let me log back in. 😩,ACCOUNT_LOGIN_SECURITY,HIGH,User was logged out and cannot log back in.
111,20678,1711917,@SpotifyCares Apparently there is no contact form anymore. How do i get my issues fixed!,GENERAL_OTHER,HIGH,Support/contact request rather than a specific product issue.
114,27243,1998302,@SpotifyCares is there any Siri integration with Spotify?,FEATURE_REQUEST,HIGH,Asks about platform integration support.
118,36687,2572197,why The suburbs by @10789 is not available in @115888 :( ?,MUSIC_CONTENT_AVAILABILITY,HIGH,Specific song is unavailable.
120,9169,760621,"@SpotifyCares had an email from you saying my email address had been changed, meant I couldn't log in to change password. Advise please",ACCOUNT_LOGIN_SECURITY,HIGH,Email changed and login/password access affected.
123,32694,2294399,@SpotifyCares Ok thanks! I voted to please build an app for it! I may have to switch to Apple music otherwise so I can run with playlists,FEATURE_REQUEST,HIGH,Requests an app/platform feature.
124,40055,2802526,"@SpotifyCares Hello, my account got hacked recently. Could you please send a reply/help too ""__email__"" thank you!",ACCOUNT_LOGIN_SECURITY,HIGH,Explicit hacked-account problem.
129,14122,1145862,@SpotifyCares I did. There's a plethora of users having problems with you app in Windows 10 Phone. Check the comments. Thanks you.,APP_TECHNICAL_ISSUE,HIGH,Windows app has technical problems.
130,659,64386,@SpotifyCares hellow I need some help with this i cant connect with the facebook app https://t.co/gzAygdZrEV,ACCOUNT_LOGIN_SECURITY,HIGH,Unable to connect Spotify with Facebook account.
133,27958,2036355,"@117153 Good evening, folks changed my premium plan for family plan. My wife received an invitation but nothing happens.",FAMILY_STUDENT_PLANS,HIGH,Family-plan invitation/activation problem.
134,37965,79419,@SpotifyCares I’ve sent you a message and you’re not still responding,GENERAL_OTHER,HIGH,"Complaint about support response, not a product issue."
