sample_id,correctness_llm,correctness_human,correctness_difference,groundedness_llm,groundedness_human,groundedness_difference,helpfulness_llm,helpfulness_human,helpfulness_difference,tone_llm,tone_human,tone_difference,hallucination_free_llm,hallucination_free_human,hallucination_free_difference,overall_llm,overall_human,overall_difference
6,2.0,2.0,0.0,3.0,4.0,-1.0,2.0,2.0,0.0,4.0,5.0,-1.0,5.0,5.0,0.0,2.0,2.0,0.0
10,5.0,4.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,4.0,1.0
12,3.0,4.0,-1.0,2.0,5.0,-3.0,3.0,4.0,-1.0,4.0,5.0,-1.0,4.0,5.0,-1.0,3.0,4.0,-1.0
13,3.0,5.0,-2.0,5.0,5.0,0.0,3.0,4.0,-1.0,5.0,5.0,0.0,5.0,5.0,0.0,3.0,5.0,-2.0
23,5.0,5.0,0.0,5.0,5.0,0.0,4.0,5.0,-1.0,5.0,5.0,0.0,5.0,5.0,0.0,4.0,5.0,-1.0
24,3.0,4.0,-1.0,5.0,5.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,5.0,4.0,1.0,4.0,4.0,0.0
33,5.0,5.0,0.0,5.0,5.0,0.0,4.0,5.0,-1.0,5.0,5.0,0.0,5.0,5.0,0.0,4.0,5.0,-1.0
36,5.0,5.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,4.0,5.0,-1.0
38,4.0,5.0,-1.0,5.0,5.0,0.0,3.0,5.0,-2.0,4.0,5.0,-1.0,5.0,5.0,0.0,4.0,5.0,-1.0
40,2.0,5.0,-3.0,3.0,5.0,-2.0,2.0,5.0,-3.0,4.0,5.0,-1.0,5.0,5.0,0.0,2.0,5.0,-3.0
41,5.0,4.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,4.0,5.0,-1.0,5.0,4.0,1.0,5.0,4.0,1.0
57,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0
67,3.0,3.0,0.0,3.0,4.0,-1.0,3.0,3.0,0.0,4.0,5.0,-1.0,5.0,5.0,0.0,3.0,3.0,0.0
73,2.0,3.0,-1.0,3.0,4.0,-1.0,2.0,3.0,-1.0,4.0,5.0,-1.0,5.0,5.0,0.0,2.0,3.0,-1.0
75,2.0,3.0,-1.0,3.0,4.0,-1.0,3.0,3.0,0.0,4.0,5.0,-1.0,4.0,5.0,-1.0,2.0,3.0,-1.0
80,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,3.0,5.0,-2.0,2.0,2.0,0.0
87,3.0,3.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0
90,3.0,3.0,0.0,3.0,4.0,-1.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,5.0,-1.0,3.0,3.0,0.0
105,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,1.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0
106,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,4.0,4.0,0.0,5.0,5.0,0.0,1.0,2.0,-1.0
107,5.0,5.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0
109,5.0,5.0,0.0,5.0,5.0,0.0,3.0,4.0,-1.0,4.0,5.0,-1.0,5.0,5.0,0.0,4.0,4.0,0.0
110,4.0,5.0,-1.0,5.0,5.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0
111,3.0,3.0,0.0,3.0,4.0,-1.0,3.0,3.0,0.0,4.0,5.0,-1.0,5.0,5.0,0.0,3.0,3.0,0.0
114,1.0,2.0,-1.0,2.0,5.0,-3.0,1.0,1.0,0.0,3.0,4.0,-1.0,4.0,5.0,-1.0,1.0,2.0,-1.0
