sample_id,conversation_index,tweet_id,text,label,confidence,notes
1,15796,1264702,"@SpotifyCares …up on the lock screen anymore, I have to unlock my phone and open spotify just to change volume or skip track",APP_TECHNICAL_ISSUE,HIGH,"Lock-screen controls are an app/UI technical issue."
2,37301,2608276,"I don’t know what happened. @115888 deleted all my playlists. 😭😭😭",PLAYLIST_LIBRARY,HIGH,"Playlists were deleted."
3,28360,2047818,"The ""Time Capsule"" playlist on @SpotifyCares today is EXACTLY what I needed to make it through this day. Much Loveeeee &lt;3",GENERAL_OTHER,HIGH,"Positive feedback, not a support issue."
4,2569,227980,"Why isn’t meekend music 2 on Spotify yet ?? @115888 @16913",MUSIC_CONTENT_AVAILABILITY,HIGH,"Specific album/content is not available."
5,25052,1907100,"i hate having no money and that means dealing with ugli ass spotify adverts when im in a really pissy mood which ruins my mood further",ADS_FREE_TIER,HIGH,"Complaint about ads on the free tier."
6,6430,565419,"@SpotifyCares if I purchase the discounted annual premium subscription (12 months for price of 10), does the month I am already on with my monthly premium subscription finish first before it kicks in or does it just start straight away?",PREMIUM_SUBSCRIPTION,HIGH,"Question about switching between Premium subscription terms."
7,25641,1930770,"@SpotifyCares I have Spotify family, but the account holder’s account says it’s a free account.",FAMILY_STUDENT_PLANS,HIGH,"Family plan status problem."
8,41961,2916673,"@SpotifyCares What’s going on ? It seems I’m not the only one 🤔 https://t.co/JT48VaLmQm",GENERAL_OTHER,LOW,"Too vague to assign to a specific support category."
9,41737,2913795,"Can you block certain artists on Spotify because my daily mix came up with a Jaden Smith song and I wanna make sure that never happens again.",FEATURE_REQUEST,HIGH,"Requests an artist-blocking feature."
10,31795,2251451,"@SpotifyCares  CarPlay integration indeed is extremely buggy 😡😡😡",APP_TECHNICAL_ISSUE,HIGH,"CarPlay integration is malfunctioning."
11,26944,1983330,"@115888 Just cause I like a song does not mean I want to hear it every second track ... please fix the shuffle :) #Spotify",PLAYBACK_ISSUE,HIGH,"Shuffle behavior is causing incorrect playback order."
12,8556,707054,"@SpotifyCares Any idea why your Android app occasionally wipes out every download? Now redownloading about 1600 songs. Not the first time.",DOWNLOAD_OFFLINE,HIGH,"Downloaded offline music is being removed."
13,22134,1796739,"@SpotifyCares why did my account downgrade after two days of premium service",PREMIUM_SUBSCRIPTION,HIGH,"Premium subscription unexpectedly downgraded."
14,5683,507376,"@SpotifyCares will paying for the 1-time annual subscription automatically override my future monthly auto-payments, or will I need to cancel my auto-payments?",PAYMENT_BILLING,HIGH,"Main concern is recurring payment/auto-payment behavior."
15,3290,301181,"@SpotifyCares Pomp and Circumstance cuts off to silence at 4:02 (https://t.co/gznaVh6oO8) Windows 10, Spotify program installed. Thanks!",PLAYBACK_ISSUE,HIGH,"A song cuts off during playback."
16,7523,116604,"All clear! Everything’s looking good again. Enjoy the tunes.",GENERAL_OTHER,HIGH,"Closing/positive message, not an issue."
17,23100,1833648,"same with rap mon https://t.co/Hlp2Au8KkH",GENERAL_OTHER,LOW,"Too little context to assign a specific label."
18,15832,1265661,"@115888 any plans for adding an explicit track filter? I'm sick of staying on edge to skip tracks whenever the kids are in the car.",FEATURE_REQUEST,HIGH,"Explicit-content filtering is a requested feature."
19,16716,1346667,"@SpotifyCares I'm from Slovenia. Here is no @115888. I'm using different metod to use Spotify. But here is no premium. You are welcome in Slovenia. Come here,  please! *Website can also be in English",MUSIC_CONTENT_AVAILABILITY,MEDIUM,"Regional availability/service availability issue; closest taxonomy category is content/service availability."
20,24930,1109711,"@SpotifyCares hi. When will the iPad app layout be fixed? Blowing up the UI from iPhone is not cool or acceptable. I miss the two panels. :/",APP_TECHNICAL_ISSUE,HIGH,"iPad UI/layout problem."
21,36114,2532101,"@SpotifyCares I need your help with a payment issue. Applied as student for discount here in Australia, but my college is not in the list.",FAMILY_STUDENT_PLANS,HIGH,"Student-plan eligibility/college verification issue."
22,20363,8225,"All clear! Everything’s looking good again. Enjoy the tunes.",GENERAL_OTHER,HIGH,"Closing/positive message, not an issue."
23,25108,1909604,"@568872 @SpotifyCares Gummo still mf deleted https://t.co/rrqIDjrzNr",MUSIC_CONTENT_AVAILABILITY,HIGH,"Specific music content was removed/deleted."
24,42004,2917841,"@SpotifyCares App isn’t working. Doesn’t matter if I’m on data or WiFi. Restarted my phone and updated. What’s going on?",APP_TECHNICAL_ISSUE,HIGH,"General app malfunction."
25,16593,1336485,"@SpotifyCares Hmm I'm only using one offline device, so unless it removes them when it updates the app I'm stumped. Thanks anyway",DOWNLOAD_OFFLINE,MEDIUM,"Context indicates a problem with offline/downloaded music."
26,6983,116604,"All clear! Everything’s looking good again. Enjoy the tunes.",GENERAL_OTHER,HIGH,"Closing/positive message, not an issue."
27,293,38973,"@SpotifyCares I am listening from the United States and my account is set in the U.S. as well. Hope that helps.",GENERAL_OTHER,LOW,"Context/location information without a clear issue."
28,9504,788972,"@SpotifyCares do you have a way to filter explicit lyrics for a supposed family subscription???",FEATURE_REQUEST,HIGH,"Requests an explicit-content filtering feature."
29,25951,1941505,"@410993 can you please add more Unreleased &amp; released Steve Burns music please!.?",FEATURE_REQUEST,HIGH,"Requests more music/content to be added."
30,25215,1913460,"@SpotifyCares @AppleSupport Every since the new software update my iphone 7 doesn’t display music playing from Spotify on my lock screen 😩",APP_TECHNICAL_ISSUE,HIGH,"Lock-screen display issue after an update."
31,5705,507424,"@SpotifyCares hi, will the £99 yearly subscription offer I just got still be available in January?",PREMIUM_SUBSCRIPTION,HIGH,"Question about availability/continuation of a Premium offer."
32,23912,1859664,".@115888 why is it such a painstaking task to change your profile picture without having to connect to Facebook? Why? WHY?!?!",APP_TECHNICAL_ISSUE,MEDIUM,"Profile-picture functionality/UX problem; no dedicated profile category exists."
33,36095,2528938,"If only @115888 had every @46723 and @46724 remix I would such a happy girl",MUSIC_CONTENT_AVAILABILITY,HIGH,"Specific remixes are missing/unavailable."
34,10985,888598,"@SpotifyCares I have an iMac\n\nEl Capitan Version 10.11.6\n\nSpotify version: 1.0.65.320.gac7a8e02",GENERAL_OTHER,LOW,"Device/version details only; no clear issue stated."
35,42313,580188,"Hey @115888 India is also on the map please expand your services here too.",MUSIC_CONTENT_AVAILABILITY,HIGH,"Requests service expansion to a region."
36,41155,2873765,"@SpotifyCares I archive my Discover Weekly using the IFTTT applet, but it failed last week now I've lost what had become my new favourite song and can't remember it! Is it possible to restore my previous week's playlist?  Thks!",PLAYLIST_LIBRARY,HIGH,"Problem involves losing/restoring a playlist."
37,35280,2473675,"@SpotifyCares I can turn them off but they come back on if I haven't used the app for a while (it generally happens once a day).",GENERAL_OTHER,LOW,"Object of 'them' is unclear without surrounding context."
38,27750,2028538,"You already have this functionality on podcasts. Why not do it for albums, @115888?! Seriously, not that hard to ad a sort. #UX #Design https://t.co/uHMOmnCRgb",FEATURE_REQUEST,HIGH,"Requests sorting functionality for albums."
39,38338,2686915,"@SpotifyCares This is the guy, he even gets to override me! https://t.co/2Najgo8tm6",GENERAL_OTHER,LOW,"Insufficient context to identify the issue."
40,437,48118,"P.Y.S.T. (Pretty Young Stranger Things)\nThe Moonwalking Dead\nBoJack Horseman in the Mirror\n#MichaelJacksonTVandMovies",GENERAL_OTHER,HIGH,"Content/list-style post with no support issue."
41,20995,1739400,"Hey, @SpotifyCares, we want to create lists with our podcast episodes! 😝",FEATURE_REQUEST,HIGH,"Requests podcast playlist/list functionality."
42,22096,1795178,"@SpotifyCares I open the app and most of my music is gone. I pay for your service. Can you fix it somehow? Please.",PLAYLIST_LIBRARY,HIGH,"Saved music/library content has disappeared."
43,13595,1099871,"@SpotifyCares Why does my spotify keep cutting in and out?😐",PLAYBACK_ISSUE,HIGH,"Playback repeatedly cuts in and out."
44,22384,1805150,"@SpotifyCares hi, I want to send an invitation to my family with my prem' fam' account, it doesnt work when he click on her for activation",FAMILY_STUDENT_PLANS,HIGH,"Family invitation/activation problem."
45,22113,1795922,"@SpotifyCares I feel like I ticked on a setting somewhere that always shows the Devices available button on the mobile app.",APP_TECHNICAL_ISSUE,MEDIUM,"Unexpected persistent UI behavior."
46,29656,2118680,"@SpotifyCares Just sending another DM, updated you guys on previous problems. Would appreciate some feedback ^^",GENERAL_OTHER,MEDIUM,"Follow-up/support communication without a new specific issue."
47,3861,349007,"@115888 Hello! I know you guys were considering FLAC streaming earlier this year? Any forecast on it? About to buy a Hi res DAC player...",FEATURE_REQUEST,HIGH,"Requests information about a desired future streaming feature."
48,479,52337,"@SpotifyCares spotify pls :(",GENERAL_OTHER,LOW,"Too vague to determine a specific category."
49,25528,1926367,"@115888 so sick and tired of waiting on a refund. Over 35 emails, their replies make no sense and they DON’T listen to my ways to solve it!",PAYMENT_BILLING,HIGH,"Refund/payment issue."
50,31112,2215884,"@SpotifyCares Actually It’s My iTunes Music That I’m Trying To Drag &amp; Drop",GENERAL_OTHER,MEDIUM,"Clarification about music import/local files; no direct taxonomy match."
51,4181,378067,"@SpotifyCares Why isn’t Broke with expensive taste by Azealia Banks available anymore? Did she or Spotify take it down or is it my phone?",MUSIC_CONTENT_AVAILABILITY,HIGH,"Specific song is no longer available."
52,7037,609537,"@118266 awalnya saya fine2 aja sama lagunya BTS tp diputer mulu adsnya di spotify saya jadi bosen",ADS_FREE_TIER,HIGH,"Complaint about repeated advertisements."
53,28230,2043215,"@115888 @SpotifyCares they gonna tweet me and act like they care and will fix it but will probably be the same thing over and over",GENERAL_OTHER,LOW,"Complaint is vague and does not identify a specific issue."
54,3351,306680,"@SpotifyCares i've tried restarting multiple times but not logging out/logging in. will attempt now and get back to you.",GENERAL_OTHER,MEDIUM,"Troubleshooting follow-up without enough issue context."
55,28618,2058632,"@115888 i want my lay 02 sheep album i cant use up my naver coupon",PAYMENT_BILLING,MEDIUM,"Coupon/payment problem is preventing access to desired album."
56,21391,1767699,"@SpotifyCares @115888 how do I receive the presale code for DVSN? I’m already a member.",GENERAL_OTHER,HIGH,"Presale-code request does not fit the defined support categories."
57,30668,2190769,"@SpotifyCares i changed my Facebook profile picture back in may and although it has updated on your website, it has not on my app, both on laptop and phone",APP_TECHNICAL_ISSUE,HIGH,"Profile picture is not syncing correctly across app/web."
58,21506,1774972,"My @115888 app is not working and I️ am currently dying. Guess I’ll go back to vinyl 🤷🏻‍♂️",APP_TECHNICAL_ISSUE,HIGH,"General app malfunction."
59,23372,1842960,"@SpotifyCares how to remove or edit CC information from payment method? I can't find it",PAYMENT_BILLING,HIGH,"Payment method/card management issue."
60,7989,666341,"@SpotifyCares Thank you! 💙",GENERAL_OTHER,HIGH,"Thank-you message."
61,36446,2552682,"@SpotifyCares iPhone 7+ w/ 11.1, I Press “play”, step in the shower, music fades out like there’s a notification, but there is no notification 🤷🏼‍♂️",PLAYBACK_ISSUE,HIGH,"Music unexpectedly fades/stops during playback."
62,29403,2095150,"@118266 hi, saya mau memastikan, premium fee bulanan masih 49.990 kan? pulsa saya sudah 62.000 tapi mengapa masih 'unable to renew your subscription because of payment problem' ya? tks",PAYMENT_BILLING,HIGH,"Payment/renewal failure."
63,22474,1809297,"@118266 ngeliat ada artis screen capture ini, ini kok warna spotify nya beda sih? Apa ada white theme atau gmn? https://t.co/mZw5zD6pME",FEATURE_REQUEST,HIGH,"Asks about/request for a different visual theme."
64,29938,2136531,"forever bitter about @115888 taking away the messaging feature. years and years of sharing songs /convos with friends gone. with no warning.",FEATURE_REQUEST,HIGH,"Complaint about a removed feature; feature-related category is the closest match."
65,21068,1711774,"@SpotifyCares having trouble accessing Spotify through control center, iOS 11.0, Spotify version 8.4.25, i have premium",APP_TECHNICAL_ISSUE,HIGH,"Control-center integration is malfunctioning."
66,12046,974531,"@SpotifyCares I definitely need to contact you. A number or email would be nice.",GENERAL_OTHER,HIGH,"Support-contact request does not match another defined category."
67,13914,1121425,"@115888 why can't you do this for metal, metal-core, hardcore, ect???? https://t.co/4HMjznIFNg",FEATURE_REQUEST,HIGH,"Requests a feature/capability for additional genres."
68,19868,1649898,"@115888 @SpotifyCares where’s the iPhone X optimization for the iOS app",APP_TECHNICAL_ISSUE,HIGH,"Device-specific app optimization issue."
69,35476,2484423,"@SpotifyCares hi team, keen to try premium with a view to getting premium family. Are you doing 30 day trials, please? (AKA save me from HMV this Christmas 😉🤣)",PREMIUM_SUBSCRIPTION,HIGH,"Question about Premium trial/subscription."
70,11927,965862,"Hey @SpotifyCares how do I stop your iPhone app from deleting my downloaded music every time it updates?",DOWNLOAD_OFFLINE,HIGH,"Downloaded offline music is deleted by app updates."
71,35413,2481562,"@SpotifyCares Okay thank you!!",GENERAL_OTHER,HIGH,"Thank-you/closing message."
72,28192,2042379,"@115888 Lately, it has taken more than 10 minutes for my music to load. Are you all doing something different?",PLAYBACK_ISSUE,HIGH,"Severe music loading/buffering problem."
