sample_id,text,expected_intent,predicted_intent,expected_decision,predicted_decision,retrieval_similarity,reply,reason,error
6,"@SpotifyCares if I purchase the discounted annual premium subscription (12 months for price of 10), does the month I am already on with my monthly premium subscription finish first before it kicks in or does it just start straight away?",PREMIUM_SUBSCRIPTION,PREMIUM_SUBSCRIPTION,AUTO_HANDLE,AUTO_HANDLE,0.2413032719984219,,Intent is identifiable and similar historical support cases were found.,
10,@SpotifyCares  CarPlay integration indeed is extremely buggy 😡😡😡,APP_TECHNICAL_ISSUE,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.28514330637702495,,Intent is identifiable and similar historical support cases were found.,
12,@SpotifyCares Any idea why your Android app occasionally wipes out every download? Now redownloading about 1600 songs. Not the first time.,DOWNLOAD_OFFLINE,DOWNLOAD_OFFLINE,AUTO_HANDLE,AUTO_HANDLE,0.27418948441468777,,Intent is identifiable and similar historical support cases were found.,
13,@SpotifyCares why did my account downgrade after two days of premium service,PREMIUM_SUBSCRIPTION,PREMIUM_SUBSCRIPTION,AUTO_HANDLE,AUTO_HANDLE,0.24543706621453734,,Intent is identifiable and similar historical support cases were found.,
23,@568872 @SpotifyCares Gummo still mf deleted https://t.co/rrqIDjrzNr,MUSIC_CONTENT_AVAILABILITY,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.34643859997000453,,Intent is identifiable and similar historical support cases were found.,
24,@SpotifyCares App isn’t working. Doesn’t matter if I’m on data or WiFi. Restarted my phone and updated. What’s going on?,APP_TECHNICAL_ISSUE,APP_TECHNICAL_ISSUE,AUTO_HANDLE,AUTO_HANDLE,0.2919168686371538,,Intent is identifiable and similar historical support cases were found.,
33,If only @115888 had every @46723 and @46724 remix I would such a happy girl,MUSIC_CONTENT_AVAILABILITY,FEATURE_REQUEST,AUTO_HANDLE,AUTO_HANDLE,0.4255351819541135,,Intent is identifiable and similar historical support cases were found.,
36,"@SpotifyCares I archive my Discover Weekly using the IFTTT applet, but it failed last week now I've lost what had become my new favourite song and can't remember it! Is it possible to restore my previous week's playlist?  Thks!",PLAYLIST_LIBRARY,FEATURE_REQUEST,AUTO_HANDLE,AUTO_HANDLE,0.2784701399664713,,Intent is identifiable and similar historical support cases were found.,
38,"You already have this functionality on podcasts. Why not do it for albums, @115888?! Seriously, not that hard to ad a sort. #UX #Design https://t.co/uHMOmnCRgb",FEATURE_REQUEST,FEATURE_REQUEST,AUTO_HANDLE,AUTO_HANDLE,0.2858075659200661,,Intent is identifiable and similar historical support cases were found.,
40,P.Y.S.T. (Pretty Young Stranger Things)\nThe Moonwalking Dead\nBoJack Horseman in the Mirror\n#MichaelJacksonTVandMovies,GENERAL_OTHER,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.4332402248550543,,Intent is identifiable and similar historical support cases were found.,
41,"Hey, @SpotifyCares, we want to create lists with our podcast episodes! 😝",FEATURE_REQUEST,FEATURE_REQUEST,AUTO_HANDLE,AUTO_HANDLE,0.3981282411282624,,Intent is identifiable and similar historical support cases were found.,
57,"@SpotifyCares i changed my Facebook profile picture back in may and although it has updated on your website, it has not on my app, both on laptop and phone",APP_TECHNICAL_ISSUE,APP_TECHNICAL_ISSUE,AUTO_HANDLE,AUTO_HANDLE,0.2278403727090571,,Intent is identifiable and similar historical support cases were found.,
67,"@115888 why can't you do this for metal, metal-core, hardcore, ect???? https://t.co/4HMjznIFNg",FEATURE_REQUEST,FEATURE_REQUEST,AUTO_HANDLE,AUTO_HANDLE,0.4228249685258445,,Intent is identifiable and similar historical support cases were found.,
73,"@SpotifyCares Yep. All that I tried. Even uninstalled, restarted. Removed all data by hand. Installed again. The default settings was set to SD card, but all music ended on the internal storage.",DOWNLOAD_OFFLINE,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.32986231415279754,,Intent is identifiable and similar historical support cases were found.,
75,"@115888 Hey! I can't sign in with my username and password with my TouchTunes @90737 new account. My Samsung mobile account needs updating, too! @125607 I CHANGED my name legally this year. Problems tonight as I am out TRYING to have a good time!",ACCOUNT_LOGIN_SECURITY,ACCOUNT_LOGIN_SECURITY,AUTO_HANDLE,AUTO_HANDLE,0.24621221000316923,,Intent is identifiable and similar historical support cases were found.,
80,@115888 Where the hell are my buttons to access library and so on? #UIDisaster On th verge of switching if you don’t stop messing with the UI. https://t.co/NfDF1SH5pK,APP_TECHNICAL_ISSUE,FEATURE_REQUEST,AUTO_HANDLE,AUTO_HANDLE,0.2600229912042578,,Intent is identifiable and similar historical support cases were found.,
84,@SpotifyCares been charging my account and i canceled last month 🤨,PAYMENT_BILLING,ACCOUNT_LOGIN_SECURITY,ESCALATE,ESCALATE,0.3404333012816507,,Billing or payment issue may require account-specific action.,
87,@115888 @SpotifyCares please fix your artist.spotify contact page.,APP_TECHNICAL_ISSUE,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.4816563004643345,,Intent is identifiable and similar historical support cases were found.,
88,@117153 I was charged the annual suscription but the premium does not work for me,PAYMENT_BILLING,PAYMENT_BILLING,ESCALATE,ESCALATE,0.7852574316996465,,Billing or payment issue may require account-specific action.,
90,"@115888 I'd like to get the premium version but here Is the case I don't have a credit card but I've enough fund in my Google play Store. Please I want find out if I can pay via Google play Store, BTC or iTunes gift card. Please waiting for your response. Thanks Gerd!!!",PAYMENT_BILLING,PAYMENT_BILLING,AUTO_HANDLE,AUTO_HANDLE,0.4918445175528884,,Intent is identifiable and similar historical support cases were found.,
105,@SpotifyCares Not sure to be honest. No other issues with Spotify though at all.,GENERAL_OTHER,APP_TECHNICAL_ISSUE,AUTO_HANDLE,AUTO_HANDLE,0.24844876522322054,,Intent is identifiable and similar historical support cases were found.,
106,That moment when you wonder if you should be tweeting to @SpotifyCares or @comcastcares because not a single song has played without interruption... 😩,PLAYBACK_ISSUE,FEATURE_REQUEST,AUTO_HANDLE,AUTO_HANDLE,0.20325525907864228,,Intent is identifiable and similar historical support cases were found.,
