sample_id,conversation_index,tweet_id,text,label,confidence,notes
1,15796,1264702,"@SpotifyCares …up on the lock screen anymore, I have to unlock my phone and open spotify just to change volume or skip track",APP_TECHNICAL_ISSUE,HIGH,Lock-screen controls are an app/UI technical issue.
2,37301,2608276,I don’t know what happened. @115888 deleted all my playlists. 😭😭😭,PLAYLIST_LIBRARY,HIGH,Playlists were deleted.
3,28360,2047818,"The ""Time Capsule"" playlist on @SpotifyCares today is EXACTLY what I needed to make it through this day. Much Loveeeee &lt;3",GENERAL_OTHER,HIGH,"Positive feedback, not a support issue."
4,2569,227980,Why isn’t meekend music 2 on Spotify yet ?? @115888 @16913,MUSIC_CONTENT_AVAILABILITY,HIGH,Specific album/content is not available.
5,25052,1907100,i hate having no money and that means dealing with ugli ass spotify adverts when im in a really pissy mood which ruins my mood further,ADS_FREE_TIER,HIGH,Complaint about ads on the free tier.
7,25641,1930770,"@SpotifyCares I have Spotify family, but the account holder’s account says it’s a free account.",FAMILY_STUDENT_PLANS,HIGH,Family plan status problem.
8,41961,2916673,@SpotifyCares What’s going on ? It seems I’m not the only one 🤔 https://t.co/JT48VaLmQm,GENERAL_OTHER,LOW,Too vague to assign to a specific support category.
9,41737,2913795,Can you block certain artists on Spotify because my daily mix came up with a Jaden Smith song and I wanna make sure that never happens again.,FEATURE_REQUEST,HIGH,Requests an artist-blocking feature.
11,26944,1983330,@115888 Just cause I like a song does not mean I want to hear it every second track ... please fix the shuffle :) #Spotify,PLAYBACK_ISSUE,HIGH,Shuffle behavior is causing incorrect playback order.
14,5683,507376,"@SpotifyCares will paying for the 1-time annual subscription automatically override my future monthly auto-payments, or will I need to cancel my auto-payments?",PAYMENT_BILLING,HIGH,Main concern is recurring payment/auto-payment behavior.
15,3290,301181,"@SpotifyCares Pomp and Circumstance cuts off to silence at 4:02 (https://t.co/gznaVh6oO8) Windows 10, Spotify program installed. Thanks!",PLAYBACK_ISSUE,HIGH,A song cuts off during playback.
16,7523,116604,All clear! Everything’s looking good again. Enjoy the tunes.,GENERAL_OTHER,HIGH,"Closing/positive message, not an issue."
17,23100,1833648,same with rap mon https://t.co/Hlp2Au8KkH,GENERAL_OTHER,LOW,Too little context to assign a specific label.
18,15832,1265661,@115888 any plans for adding an explicit track filter? I'm sick of staying on edge to skip tracks whenever the kids are in the car.,FEATURE_REQUEST,HIGH,Explicit-content filtering is a requested feature.
19,16716,1346667,"@SpotifyCares I'm from Slovenia. Here is no @115888. I'm using different metod to use Spotify. But here is no premium. You are welcome in Slovenia. Come here,  please! *Website can also be in English",MUSIC_CONTENT_AVAILABILITY,MEDIUM,Regional availability/service availability issue; closest taxonomy category is content/service availability.
20,24930,1109711,@SpotifyCares hi. When will the iPad app layout be fixed? Blowing up the UI from iPhone is not cool or acceptable. I miss the two panels. :/,APP_TECHNICAL_ISSUE,HIGH,iPad UI/layout problem.
21,36114,2532101,"@SpotifyCares I need your help with a payment issue. Applied as student for discount here in Australia, but my college is not in the list.",FAMILY_STUDENT_PLANS,HIGH,Student-plan eligibility/college verification issue.
22,20363,8225,All clear! Everything’s looking good again. Enjoy the tunes.,GENERAL_OTHER,HIGH,"Closing/positive message, not an issue."
25,16593,1336485,"@SpotifyCares Hmm I'm only using one offline device, so unless it removes them when it updates the app I'm stumped. Thanks anyway",DOWNLOAD_OFFLINE,MEDIUM,Context indicates a problem with offline/downloaded music.
27,293,38973,@SpotifyCares I am listening from the United States and my account is set in the U.S. as well. Hope that helps.,GENERAL_OTHER,LOW,Context/location information without a clear issue.
28,9504,788972,@SpotifyCares do you have a way to filter explicit lyrics for a supposed family subscription???,FEATURE_REQUEST,HIGH,Requests an explicit-content filtering feature.
29,25951,1941505,@410993 can you please add more Unreleased &amp; released Steve Burns music please!.?,FEATURE_REQUEST,HIGH,Requests more music/content to be added.
30,25215,1913460,@SpotifyCares @AppleSupport Every since the new software update my iphone 7 doesn’t display music playing from Spotify on my lock screen 😩,APP_TECHNICAL_ISSUE,HIGH,Lock-screen display issue after an update.
32,23912,1859664,.@115888 why is it such a painstaking task to change your profile picture without having to connect to Facebook? Why? WHY?!?!,APP_TECHNICAL_ISSUE,MEDIUM,Profile-picture functionality/UX problem; no dedicated profile category exists.
34,10985,888598,@SpotifyCares I have an iMac\n\nEl Capitan Version 10.11.6\n\nSpotify version: 1.0.65.320.gac7a8e02,GENERAL_OTHER,LOW,Device/version details only; no clear issue stated.
35,42313,580188,Hey @115888 India is also on the map please expand your services here too.,MUSIC_CONTENT_AVAILABILITY,HIGH,Requests service expansion to a region.
37,35280,2473675,@SpotifyCares I can turn them off but they come back on if I haven't used the app for a while (it generally happens once a day).,GENERAL_OTHER,LOW,Object of 'them' is unclear without surrounding context.
42,22096,1795178,@SpotifyCares I open the app and most of my music is gone. I pay for your service. Can you fix it somehow? Please.,PLAYLIST_LIBRARY,HIGH,Saved music/library content has disappeared.
43,13595,1099871,@SpotifyCares Why does my spotify keep cutting in and out?😐,PLAYBACK_ISSUE,HIGH,Playback repeatedly cuts in and out.
44,22384,1805150,"@SpotifyCares hi, I want to send an invitation to my family with my prem' fam' account, it doesnt work when he click on her for activation",FAMILY_STUDENT_PLANS,HIGH,Family invitation/activation problem.
45,22113,1795922,@SpotifyCares I feel like I ticked on a setting somewhere that always shows the Devices available button on the mobile app.,APP_TECHNICAL_ISSUE,MEDIUM,Unexpected persistent UI behavior.
46,29656,2118680,"@SpotifyCares Just sending another DM, updated you guys on previous problems. Would appreciate some feedback ^^",GENERAL_OTHER,MEDIUM,Follow-up/support communication without a new specific issue.
47,3861,349007,@115888 Hello! I know you guys were considering FLAC streaming earlier this year? Any forecast on it? About to buy a Hi res DAC player...,FEATURE_REQUEST,HIGH,Requests information about a desired future streaming feature.
48,479,52337,@SpotifyCares spotify pls :(,GENERAL_OTHER,LOW,Too vague to determine a specific category.
49,25528,1926367,"@115888 so sick and tired of waiting on a refund. Over 35 emails, their replies make no sense and they DON’T listen to my ways to solve it!",PAYMENT_BILLING,HIGH,Refund/payment issue.
50,31112,2215884,@SpotifyCares Actually It’s My iTunes Music That I’m Trying To Drag &amp; Drop,GENERAL_OTHER,MEDIUM,Clarification about music import/local files; no direct taxonomy match.
51,4181,378067,@SpotifyCares Why isn’t Broke with expensive taste by Azealia Banks available anymore? Did she or Spotify take it down or is it my phone?,MUSIC_CONTENT_AVAILABILITY,HIGH,Specific song is no longer available.
53,28230,2043215,@115888 @SpotifyCares they gonna tweet me and act like they care and will fix it but will probably be the same thing over and over,GENERAL_OTHER,LOW,Complaint is vague and does not identify a specific issue.
54,3351,306680,@SpotifyCares i've tried restarting multiple times but not logging out/logging in. will attempt now and get back to you.,GENERAL_OTHER,MEDIUM,Troubleshooting follow-up without enough issue context.
55,28618,2058632,@115888 i want my lay 02 sheep album i cant use up my naver coupon,PAYMENT_BILLING,MEDIUM,Coupon/payment problem is preventing access to desired album.
56,21391,1767699,@SpotifyCares @115888 how do I receive the presale code for DVSN? I’m already a member.,GENERAL_OTHER,HIGH,Presale-code request does not fit the defined support categories.
58,21506,1774972,My @115888 app is not working and I️ am currently dying. Guess I’ll go back to vinyl 🤷🏻‍♂️,APP_TECHNICAL_ISSUE,HIGH,General app malfunction.
59,23372,1842960,@SpotifyCares how to remove or edit CC information from payment method? I can't find it,PAYMENT_BILLING,HIGH,Payment method/card management issue.
60,7989,666341,@SpotifyCares Thank you! 💙,GENERAL_OTHER,HIGH,Thank-you message.
61,36446,2552682,"@SpotifyCares iPhone 7+ w/ 11.1, I Press “play”, step in the shower, music fades out like there’s a notification, but there is no notification 🤷🏼‍♂️",PLAYBACK_ISSUE,HIGH,Music unexpectedly fades/stops during playback.
62,29403,2095150,"@118266 hi, saya mau memastikan, premium fee bulanan masih 49.990 kan? pulsa saya sudah 62.000 tapi mengapa masih 'unable to renew your subscription because of payment problem' ya? tks",PAYMENT_BILLING,HIGH,Payment/renewal failure.
63,22474,1809297,"@118266 ngeliat ada artis screen capture ini, ini kok warna spotify nya beda sih? Apa ada white theme atau gmn? https://t.co/mZw5zD6pME",FEATURE_REQUEST,HIGH,Asks about/request for a different visual theme.
65,21068,1711774,"@SpotifyCares having trouble accessing Spotify through control center, iOS 11.0, Spotify version 8.4.25, i have premium",APP_TECHNICAL_ISSUE,HIGH,Control-center integration is malfunctioning.
66,12046,974531,@SpotifyCares I definitely need to contact you. A number or email would be nice.,GENERAL_OTHER,HIGH,Support-contact request does not match another defined category.
68,19868,1649898,@115888 @SpotifyCares where’s the iPhone X optimization for the iOS app,APP_TECHNICAL_ISSUE,HIGH,Device-specific app optimization issue.
69,35476,2484423,"@SpotifyCares hi team, keen to try premium with a view to getting premium family. Are you doing 30 day trials, please? (AKA save me from HMV this Christmas 😉🤣)",PREMIUM_SUBSCRIPTION,HIGH,Question about Premium trial/subscription.
70,11927,965862,Hey @SpotifyCares how do I stop your iPhone app from deleting my downloaded music every time it updates?,DOWNLOAD_OFFLINE,HIGH,Downloaded offline music is deleted by app updates.
71,35413,2481562,@SpotifyCares Okay thank you!!,GENERAL_OTHER,HIGH,Thank-you/closing message.
72,28192,2042379,"@115888 Lately, it has taken more than 10 minutes for my music to load. Are you all doing something different?",PLAYBACK_ISSUE,HIGH,Severe music loading/buffering problem.
74,13903,1119755,@115888 How do you stream do you just listen to the music??? I barely got spotify so idk how it works,GENERAL_OTHER,HIGH,General how-to question.
76,28603,2058152,@SpotifyCares I need help recovering my songs i sent an email on monday and no reply yet :(,PLAYLIST_LIBRARY,HIGH,Requests recovery of missing songs/library content.
79,29367,2095081,@SpotifyCares Of course it’s shuffleyerfeet,GENERAL_OTHER,LOW,Too ambiguous to identify the intended issue.
81,29614,2114207,@SpotifyCares I was charged for premium student but my account still says free. I need to get rid of this charge!,PAYMENT_BILLING,HIGH,Explicit charge/billing complaint; payment is the primary issue.
83,23039,1831319,@SpotifyCares web-player not working on any browser (chrome / edge). Are you aware of problems?,APP_TECHNICAL_ISSUE,HIGH,Web player malfunction.
85,20957,1737713,is @115888 acting wonky for anyone else? Of course I need it for a current editing project and it keeps logging me out. Grrrrr,ACCOUNT_LOGIN_SECURITY,HIGH,Repeated unexpected logouts are account access/authentication problems.
89,20199,1677311,Hello @115888 would you explain what is the meaning of this? Is this related to netflix series “Stranger Things”? https://t.co/ZMxIVgOG0K,GENERAL_OTHER,MEDIUM,General question about linked content; no specific support issue.
93,31111,2215885,@SpotifyCares Does The Drag &amp; Drop Work?,GENERAL_OTHER,MEDIUM,General how-to/functionality question without enough context.
94,36483,2555548,@115888 where is the rest to Take Care?? Why do I only have 6 songs?? https://t.co/lxTWBtF18I,MUSIC_CONTENT_AVAILABILITY,HIGH,Only part of an album is available.
95,33561,2337995,@676390 @115888 wack af,GENERAL_OTHER,LOW,Too vague to identify a specific issue.
96,5205,467625,So I guess @115888 cancels your students subscription after a year and then charges you $10/month and ALSO cancels your @115940 subscription without any warning so guess who doesn’t have Hulu rn because it won’t register that I’m a student? #help @hulu_support @SpotifyCares,FAMILY_STUDENT_PLANS,HIGH,Student-plan status/discount issue is central.
97,28897,2067402,@117153 There is a problem with muy acount and I can't find anything of help in your page. Please answer.,GENERAL_OTHER,LOW,Account problem is too vague to determine the specific category.
98,20520,1699327,@SpotifyCares Website not working today? -- Trying to download the client... :( https://t.co/lU1HJ7FXKk,APP_TECHNICAL_ISSUE,HIGH,Spotify website/client download is not working.
99,18937,1554527,Disappointed @115888 doesn't have the Josie and the Pussycats soundtrack,MUSIC_CONTENT_AVAILABILITY,HIGH,Specific soundtrack is unavailable.
101,24167,1868103,dear @115888 can you make some sort of family plan so my husband and i can stop arguing via song titles until one of us caves and let’s the other use it,FAMILY_STUDENT_PLANS,HIGH,Requests a family plan.
102,8938,737841,@115888 when will spotify come to India?,MUSIC_CONTENT_AVAILABILITY,HIGH,Service availability in a country.
104,29821,2128528,@SpotifyCares Received - Thanks!,GENERAL_OTHER,HIGH,Confirmation/thank-you message.
108,12933,1049982,"Goodbye @115888, cancelling and moving to Apple Music because there is no app for Apple Watch (I need/use for working out) @SpotifyCares",FEATURE_REQUEST,HIGH,Complains about missing Apple Watch support.
113,2298,199138,Why would you put a photo on my spotify profile @SpotifyCares @115888 w/o my consent? w/c u took frm my fb acct?,ACCOUNT_LOGIN_SECURITY,HIGH,Unauthorized account/profile change involving linked Facebook account.
115,37160,2598671,"@SpotifyCares hi! you've probably heard this question all week but, is Taylor Swifts 'reputation' on Spotify yet? I heard maybe midnight but I don't see it? ☺",MUSIC_CONTENT_AVAILABILITY,HIGH,Specific album availability question.
116,22268,1800742,"This is devastating, but I think Samantha Mumba's OG ""Gotta Tell You"" is gone from @116380. The remix is not the same!!",MUSIC_CONTENT_AVAILABILITY,HIGH,Specific song/version appears to have been removed.
