sample_id,text,intent,retrieval_similarity,historical_evidence,generated_reply
6,"@SpotifyCares if I purchase the discounted annual premium subscription (12 months for price of 10), does the month I am already on with my monthly premium subscription finish first before it kicks in or does it just start straight away?",PREMIUM_SUBSCRIPTION,0.2413032719984219,"[{'customer_message': '@115888. Hi, can I cancel my monthly premium subscription and take out the new annual subscription?', 'spotify_reply': ""@232849 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(494239), 'spotify_reply_id': np.int64(494238), 'similarity': 0.2413032719984219}, {'customer_message': '@115888 hi, received the 12 months for price of 10 offer via email, followed the link, but it states that I am not eligible. Can you please clarify?', 'spotify_reply': ""@234664 Hey there, help's here! Could you shoot us a DM with your account's username and email address? We'll take a look backstage /VK"", 'customer_tweet_id': np.int64(500947), 'spotify_reply_id': np.int64(500945), 'similarity': 0.20943811133241458}, {'customer_message': '@SpotifyCares I purchase the 3 months for 9 pesos spotify premium , its not working https://t.co/ErnWIbZpfe', 'spotify_reply': ""@148283 Got it! Could you DM us your account's username and email address? We'll take a look backstage /DF https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(142992), 'spotify_reply_id': np.int64(142993), 'similarity': 0.18691887770640717}]","Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage."
10,@SpotifyCares  CarPlay integration indeed is extremely buggy 😡😡😡,GENERAL_OTHER,0.28514330637702495,"[{'customer_message': '@SpotifyCares yeah this is extremely not the very simple thing that I need', 'spotify_reply': ""@759748 We're sorry to hear that. Don't worry, we'll pass on the suggestion about new release notifications from specific artists on to the right folks. Let us know if there's anything else we can help with /KB"", 'customer_tweet_id': np.int64(2705129), 'spotify_reply_id': np.int64(2705130), 'similarity': 0.28514330637702495}, {'customer_message': '@SpotifyCares I did indeed yes', 'spotify_reply': ""@777593 That's strange. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /JP"", 'customer_tweet_id': np.int64(2784974), 'spotify_reply_id': np.int64(2784975), 'similarity': 0.2774658975048027}, {'customer_message': '@115888 @115858 Spotify is soooo buggy for CarPlay. Pls fix soon thanks', 'spotify_reply': ""@249035 Hi Lizzie, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us posted /JI"", 'customer_tweet_id': np.int64(1162421), 'spotify_reply_id': np.int64(1162419), 'similarity': 0.25717920115851295}]","We're sorry to hear you're having trouble with CarPlay. Does logging out, restarting your device, and logging back into Spotify help? Let us know!"
12,@SpotifyCares Any idea why your Android app occasionally wipes out every download? Now redownloading about 1600 songs. Not the first time.,DOWNLOAD_OFFLINE,0.27418948441468777,"[{'customer_message': ""@SpotifyCares Nope. Luckily no crashing, but definitely multiple ads. Not the first time either, just the first time I've reported it."", 'spotify_reply': '@190218 2: 30 minutes ad-free listening in full after hearing the offer? /SY', 'customer_tweet_id': np.int64(310782), 'spotify_reply_id': np.int64(310780), 'similarity': 0.27418948441468777}, {'customer_message': '@115888, please how do I stop this! Not the first time. https://t.co/H9u1WW1CSV', 'spotify_reply': ""@756721 Hey Jack! we don't have a way to remove suggested playlists at this time, but we'll be sure to pass your feedback on to the right folks. In the meantime, be sure to check out our Genres & Moods section for new playlists to enjoy /TB"", 'customer_tweet_id': np.int64(2691963), 'spotify_reply_id': np.int64(2691962), 'similarity': 0.2299836270072854}, {'customer_message': '@SpotifyCares I deleted the app and reinstalled the first time.', 'spotify_reply': ""@581974 Got it. We're glad the app's working fine now though. If this ever happens again, just give us a shout. We'll be right here 🙂 /RH"", 'customer_tweet_id': np.int64(1962695), 'spotify_reply_id': np.int64(1962693), 'similarity': 0.22253810346772054}]",We're sorry to hear your downloads have disappeared. That's definitely not the experience we want you to have. Could you tell us what version of the Android app you're currently using?
13,@SpotifyCares why did my account downgrade after two days of premium service,PREMIUM_SUBSCRIPTION,0.24543706621453734,"[{'customer_message': '@SpotifyCares My paid account was hijacked. No response to ticket after two days. Would greatly appreciate a response so I can stop paying for some thief to use my subscription.', 'spotify_reply': ""@436247 Hi, we've just replied to your DMs. Check your inbox 🙂 /SY"", 'customer_tweet_id': np.int64(2789413), 'spotify_reply_id': np.int64(2789412), 'similarity': 0.24543706621453734}, {'customer_message': ""@SpotifyCares WHY DID MY WHOLE LIBRARY DISAPPEAR HELP ME OHMYGOD I'VE LOST A CHILD"", 'spotify_reply': ""@557439 Hi there, the cavalry's here! Can you DM us with your account's username and email address? We'll get to the bottom of it /WW https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(1865857), 'spotify_reply_id': np.int64(1865856), 'similarity': 0.23959701310421913}, {'customer_message': '@SpotifyCares Why did my Student account automatically change to premium? I was charged full price. Can I get this corrected?', 'spotify_reply': ""@329833 Hey Dave! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(883640), 'spotify_reply_id': np.int64(883639), 'similarity': 0.22491511026733793}]","Hi there, we're sorry to hear about this! Can you please DM us your account's username and email address? We'll take a look."
23,@568872 @SpotifyCares Gummo still mf deleted https://t.co/rrqIDjrzNr,GENERAL_OTHER,0.34643859997000453,"[{'customer_message': '@115888 why remove @57088 Gummo tho?', 'spotify_reply': ""@440525 Hi! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /RB"", 'customer_tweet_id': np.int64(1376893), 'spotify_reply_id': np.int64(1376892), 'similarity': 0.34643859997000453}, {'customer_message': '@SpotifyCares wazzup? https://t.co/ghG1qUmED2', 'spotify_reply': ""@808041 Hey Juan! Everything should be running smoothly now. Let us know if you're still getting issues /GS"", 'customer_tweet_id': np.int64(2919386), 'spotify_reply_id': np.int64(2919385), 'similarity': 0.33702063808934835}, {'customer_message': '@SpotifyCares @128606  https://t.co/6bncpNuDG8', 'spotify_reply': '@181916 Best thing to try here is a reinstall. Just follow the steps at https://t.co/EqisDMwZAT. Let us know how it goes /MU', 'customer_tweet_id': np.int64(275920), 'spotify_reply_id': np.int64(710596), 'similarity': 0.33702063808934835}]","Hi! Sometimes content gets temporarily removed because of licensing changes. Hopefully, we'll have it available again soon."
24,@SpotifyCares App isn’t working. Doesn’t matter if I’m on data or WiFi. Restarted my phone and updated. What’s going on?,APP_TECHNICAL_ISSUE,0.2919168686371538,"[{'customer_message': ""@SpotifyCares I've restarted phone reinstalled app and it doesn't matter if I use WiFi or 4G it still does it."", 'spotify_reply': ""@379849 Got it. Could you DM us your account's email address or username? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(1101336), 'spotify_reply_id': np.int64(1101337), 'similarity': 0.2919168686371538}, {'customer_message': 'Hey @115888 your app isn’t working.', 'spotify_reply': ""@184736 Hey Ryan! Everything should be running smoothly now. Let us know if you're still getting issues /GS"", 'customer_tweet_id': np.int64(2920789), 'spotify_reply_id': np.int64(2920788), 'similarity': 0.26067708806186707}, {'customer_message': ""hey @115888, what's going on?"", 'spotify_reply': '@808027 Hey Alex! Everything should be running smoothly now. Let us know if this is still happening /FR', 'customer_tweet_id': np.int64(2919351), 'spotify_reply_id': np.int64(2919350), 'similarity': 0.2474934042369611}]",Could you send us a DM with your account's email address or username? We'll take a look.
33,If only @115888 had every @46723 and @46724 remix I would such a happy girl,FEATURE_REQUEST,0.4255351819541135,"[{'customer_message': '@SpotifyCares If only.', 'spotify_reply': ""@472887 We can't make any promises, but we'll let the right folks know this is something you'd like to see. Let us know if you need us again /AK"", 'customer_tweet_id': np.int64(1521346), 'spotify_reply_id': np.int64(1521348), 'similarity': 0.4255351819541135}, {'customer_message': 'I wish @115888 had nested playlists...', 'spotify_reply': '@293906 Hey! This is possible with Playlist folders. More info here: https://t.co/aGZZKzSM3w. Hope this helps 🙂 /YM', 'customer_tweet_id': np.int64(725984), 'spotify_reply_id': np.int64(725983), 'similarity': 0.2879846064810241}, {'customer_message': 'I wish @115888 had mixtapes', 'spotify_reply': '@717385 Hey! We’ve got some info about mixtapes here: https://t.co/MEjmIRL2eB /JS', 'customer_tweet_id': np.int64(2518461), 'spotify_reply_id': np.int64(2518460), 'similarity': 0.26049837517126906}]","We can't make any promises, but we'll let the right folks know this is something you'd like to see. Let us know if you need us again."
36,"@SpotifyCares I archive my Discover Weekly using the IFTTT applet, but it failed last week now I've lost what had become my new favourite song and can't remember it! Is it possible to restore my previous week's playlist?  Thks!",FEATURE_REQUEST,0.2784701399664713,"[{'customer_message': ""is it possible to get back last week's discovery playlist? @SpotifyCares"", 'spotify_reply': ""@388329 Hi there! Unfortunately we're unable to recover your previous Discover Weekly. Be sure to save your favorites, so you don't miss out /DV"", 'customer_tweet_id': np.int64(1896461), 'spotify_reply_id': np.int64(1896460), 'similarity': 0.2784701399664713}, {'customer_message': '@SpotifyCares any way to access last week’s “Discover Weekly?”', 'spotify_reply': ""@599728 We're afraid that's not possible right now. We'd suggest saving your tunes so you won't miss out. If there's anything else, let us know /AU"", 'customer_tweet_id': np.int64(2036025), 'spotify_reply_id': np.int64(2036024), 'similarity': 0.22604430305964907}, {'customer_message': ""my discover weekly was so good last week why did it change @115888 I'm hurt"", 'spotify_reply': '@796166 Hey, Discover Weekly is based on what you, and others like you, are listening to. Hopefully it’s more in tune with your tastes next week! /AR', 'customer_tweet_id': np.int64(2866594), 'spotify_reply_id': np.int64(2866593), 'similarity': 0.2166218587774116}]","We're sorry to hear you lost a favorite song! Unfortunately, we're unable to restore previous Discover Weekly playlists. We recommend saving your favorite tracks as you go so you don't miss out."
38,"You already have this functionality on podcasts. Why not do it for albums, @115888?! Seriously, not that hard to ad a sort. #UX #Design https://t.co/uHMOmnCRgb",FEATURE_REQUEST,0.2858075659200661,"[{'customer_message': '@SpotifyCares THIZ Scarface iz NOT THAT SCARFACE... https://t.co/zQGFWlslGF', 'spotify_reply': ""@437318 Thanks for the heads-up. It'd be great if you could send over the Artist Links. Just tap the three dots > Share > Copy Link /AY"", 'customer_tweet_id': np.int64(1376883), 'spotify_reply_id': np.int64(1376884), 'similarity': 0.2858075659200661}, {'customer_message': '@115888 @SpotifyCares seriously tho is it that hard to just make a miniplayer for desktop????', 'spotify_reply': ""@320109 We hear you loud and clear, Jacob. We can’t make any promises, but we'll give our devs a nudge about it /TC"", 'customer_tweet_id': np.int64(841091), 'spotify_reply_id': np.int64(841089), 'similarity': 0.23118894027664233}, {'customer_message': '@SpotifyCares Why not?', 'spotify_reply': ""@131101 We're unable to share any news regarding this at the moment. Rest assured, we're always looking for ways to improve the app. We'll be sure to pass your comments to our developers /CE"", 'customer_tweet_id': np.int64(66011), 'spotify_reply_id': np.int64(171724), 'similarity': 0.2164948741382072}]","Thanks for sharing your feedback! We're always looking for ways to improve the app, and we'll be sure to pass your comments on to our developers."
40,P.Y.S.T. (Pretty Young Stranger Things)\nThe Moonwalking Dead\nBoJack Horseman in the Mirror\n#MichaelJacksonTVandMovies,GENERAL_OTHER,0.4332402248550543,"[{'customer_message': ""What's stranger things mode @115888 https://t.co/Lxqf3NXLix"", 'spotify_reply': ""@223747 Hey Timothy! You're onto us. The Stranger Things Mode is in partnership with Netflix to promote the latest season of Stranger Things. Experience it at https://t.co/AKoMLz9WZ6. Let us know if you need anything else /RA"", 'customer_tweet_id': np.int64(458064), 'spotify_reply_id': np.int64(458061), 'similarity': 0.4332402248550543}, {'customer_message': '@SpotifyCares what is Stranger Things mode?', 'spotify_reply': '@361806 Hey Ian! The Stranger Things Mode is in partnership with Netflix to promote the latest season of Stranger Things. This will change the look of your app while playing any Stranger Things playlist curated by Spotify. Experience it here: https://t.co/4cQt9Vn0ec /CO', 'customer_tweet_id': np.int64(1915270), 'spotify_reply_id': np.int64(1915269), 'similarity': 0.3800508569290633}, {'customer_message': '@115888 what is Stranger Things Mode?', 'spotify_reply': ""@808036 Hey Sabrina! You're onto us 😉 The Stranger Things Mode is in partnership with Netflix to promote the latest season of Stranger Things. Experience it here: https://t.co/AKoMLz9WZ6. Let us know if you need anything else /AL"", 'customer_tweet_id': np.int64(2919377), 'spotify_reply_id': np.int64(2919376), 'similarity': 0.37974719775669696}]",Hey there! The Stranger Things Mode is a partnership with Netflix to promote the latest season of Stranger Things. It changes the look of your app when playing Stranger Things playlists curated by Spotify.
